"Genome","HMM.Profile","Trimmed.Profile","Substrates","Source","E.Value","Coverage","HMM.Profile.Number"
"DSM_28989_YL27","GH32","GH32","fructan","sucrose","2.3e-87","0.986348122867",32
"DSM_28989_YL27","GH32","GH32","fructan","sucrose","1.4e-66","0.996587030717",32
"DSM_28989_YL27","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","6.7e-56","0.995652173913",16
"DSM_28989_YL27","GH23","GH23","chitin, peptidoglycan","pg","1.9e-22","0.837037037037",23
"DSM_28989_YL27","GH43_2","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","8.4e-121","0.996389891697",43
"DSM_28989_YL27","GH123","GH123","host glycan",NA,"9.2e-172","0.986988847584",123
"DSM_28989_YL27","GH92","GH92","host glycan","animal","6.7e-169","0.989816700611",92
"DSM_28989_YL27","GH95","GH95","host glycan, pectin, xylan, xyloglucan, host glycan","plant,animal,mucin","1.2e-269","0.981994459834",95
"DSM_28989_YL27","GH31_15","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"8.8e-165","0.99765258216",31
"DSM_28989_YL27","GH43_24","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","3.2e-90","0.991869918699",43
"DSM_28989_YL27","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","1e-60","0.995652173913",16
"DSM_28989_YL27","GH13_14","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","6.9e-121","0.996539792388",13
"DSM_28989_YL27","GH36","GH36","alpha-galactan, host glycan, raffinose","plant","6.3e-204","0.995639534884",36
"DSM_28989_YL27","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","3.7e-126","0.973293768546",20
"DSM_28989_YL27","GH92","GH92","host glycan","animal","2.1e-183","0.991853360489",92
"DSM_28989_YL27","GH13_8","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","3e-161","0.99375",13
"DSM_28989_YL27","GH85","GH85","host glycan","animal","1.4e-35","0.955555555556",85
"DSM_28989_YL27","GH78","GH78","alpha-rhamnoside, pectin","plant","8e-16","0.396825396825",78
"DSM_28989_YL27","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","4.3e-119","0.976261127596",20
"DSM_28989_YL27","GH130_2","GH130","beta-mannan",NA,"2.6e-157","0.996666666667",130
"DSM_28989_YL27","GH92","GH92","host glycan","animal","6.4e-155","0.918533604888",92
"DSM_28989_YL27","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","7.9e-65","0.981481481481",3
"DSM_28989_YL27","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","6.4e-69","0.962962962963",3
"DSM_28989_YL27","GH163","GH163","host glycan",NA,"3.4e-106","0.99203187251",163
"DSM_28989_YL27","GH31_16","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"6e-232","0.997679814385",31
"DSM_28989_YL27","GH110","GH110","host glycan","animal","7.8e-180","0.996350364964",110
"DSM_28989_YL27","GH108","GH108","peptidoglycan","pg","1.9e-20","0.96511627907",108
"DSM_28989_YL27","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","9.8e-54","0.967592592593",3
"DSM_28989_YL27","GH25","GH25","peptidoglycan","pg","4e-38","0.971751412429",25
"DSM_28989_YL27","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1e-81","0.518617021277",2
"DSM_28989_YL27","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","2.6e-83","0.723404255319",2
"DSM_28989_YL27","GH92","GH92","host glycan","animal","9.2e-161","0.995926680244",92
"DSM_28989_YL27","GH171","GH171","peptidoglycan",NA,"3.8e-106","0.997183098592",171
"DSM_28989_YL27","GH13_47","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","3.8e-109","0.987179487179",13
"DSM_28989_YL27","GH109","GH109","host glycan","animal","4.5e-171","0.987468671679",109
"DSM_28989_YL27","GH29","GH29","host glycan","plant,animal,mucin","2.7e-79","0.887283236994",29
"DSM_28989_YL27","GH97","GH97","alpha-glucan",NA,"2.3e-232","0.980982567353",97
"DSM_28989_YL27","GH95","GH95","host glycan, pectin, xylan, xyloglucan, host glycan","plant,animal,mucin","7.3e-249","0.984764542936",95
"DSM_28989_YL27","GH89","GH89","host glycan","animal,mucin","1.9e-217","0.965309200603",89
"DSM_28989_YL27","GH36","GH36","alpha-galactan, host glycan, raffinose","plant","4.1e-212","0.995639534884",36
"DSM_28989_YL27","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","3.3e-64","0.976851851852",3
"DSM_28989_YL27","GH43_28","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","8.3e-104","0.981132075472",43
"DSM_28989_YL27","GH73","GH73","peptidoglycan","pg","5.4e-17","0.9375",73
"DSM_28989_YL27","GH33","GH33","pectin, sialic acid","animal,mucin","1.6e-84","0.93567251462",33
"DSM_28989_YL27","GH33","GH33","pectin, sialic acid","animal,mucin","2.1e-91","0.964912280702",33
"DSM_28989_YL27","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","4e-49","0.995652173913",16
"DSM_28989_YL27","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.4e-121","0.610372340426",2
"DSM_28989_YL27","GH28","GH28","pectin","plant","2.8e-81","0.932307692308",28
"DSM_28989_YL27","GH105","GH105","pectin, ulvan","animal","2e-111","0.981927710843",105
"DSM_28989_YL27","GH43_10","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","2e-108","0.9963099631",43
"DSM_28989_YL27","GH31_16","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"4.9e-218","0.997679814385",31
"DSM_28989_YL27","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","5.5e-117","0.973293768546",20
"DSM_28989_YL27","GH97","GH97","alpha-glucan",NA,"1.9e-209","0.9793977813",97
"DSM_28989_YL27","GH13_48","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1e-122","0.989399293286",13
"DSM_28989_YL27","GH43_2","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","5.2e-100","0.971119133574",43
"DSM_28989_YL27","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","8.4e-70","0.981481481481",3
"DSM_28989_YL27","GH33","GH33","pectin, sialic acid","animal,mucin","1e-85","0.961988304094",33
"DSM_28989_YL27","GH84","GH84","host glycan","animal,mucin","5.9e-101","0.993220338983",84
"DSM_28989_YL27","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","2.5e-118","0.599734042553",2
"DSM_28989_YL27","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","7.7e-72","0.986111111111",3
"DSM_28989_YL27","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","2.7e-65","0.990740740741",3
"DSM_28989_YL27","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","3.1e-91","0.537234042553",2
"DSM_28989_YL27","GH23","GH23","chitin, peptidoglycan","pg","1.9e-26","0.82962962963",23
"DSM_28989_YL27","GH23","GH23","chitin, peptidoglycan","pg","2.8e-24","0.859259259259",23
"DSM_28989_YL27","GH57","GH57","alpha-galactan, alpha-glucan, beta-glucan, starch","starch","1.8e-64","0.814621409922",57
"DSM_28989_YL27","GH133","GH133","glycogen",NA,"2.1e-87","0.978494623656",133
"DSM_28989_YL27","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","2e-49","0.970326409496",20
"DSM_28989_YL27","GH77","GH77","starch","starch","3.4e-147","0.981781376518",77
"DSM_28989_YL27","GH33","GH33","pectin, sialic acid","animal,mucin","8.6e-22","0.880116959064",33
"DSM_28989_YL27","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.1e-73","0.494680851064",2
"DSM_28989_YL27","GH43_12","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","1.9e-104","0.992882562278",43
"DSM_28989_YL27","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","1.9e-65","0.981481481481",3
"DSM_28989_YL27","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.2e-214","0.972074468085",2
"DSM_28989_YL27","GH28","GH28","pectin","plant","1.9e-19","0.375384615385",28
"DSM_28989_YL27","GH28","GH28","pectin","plant","1.9e-50","0.569230769231",28
"DSM_28989_YL27","GH13_38","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1.3e-166","0.99460916442",13
"DSM_28989_YL27","GH31","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"2.3e-123","0.997658079625",31
"E_coli_K12","GH23","GH23","chitin, peptidoglycan","pg","7.2e-24","0.925925925926",23
"E_coli_K12","GH43_11","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","3.3e-138","0.996575342466",43
"E_coli_K12","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","3e-224","0.976063829787",2
"E_coli_K12","GH13_21","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","4.6e-126","0.996835443038",13
"E_coli_K12","GH24","GH24","peptidoglycan","pg","4.2e-46","0.912408759124",24
"E_coli_K12","GH38","GH38","alpha-mannan, host glycan","animal","4.3e-78","0.951672862454",38
"E_coli_K12","GH153","GH153","exo-polysaccharide",NA,"1.2e-169","0.994269340974",153
"E_coli_K12","GH186","GH186",NA,NA,"3e-207","0.979253112033",186
"E_coli_K12","GH73","GH73","peptidoglycan","pg","2e-34","0.953125",73
"E_coli_K12","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","8.2e-53","0.953703703704",3
"E_coli_K12","GH23","GH23","chitin, peptidoglycan","pg","3.9e-16","0.77037037037",23
"E_coli_K12","GH37","GH37","trehalose",NA,"5.5e-192","0.995926680244",37
"E_coli_K12","GH13_18","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1.3e-152","0.997084548105",13
"E_coli_K12","GH179","GH179","chitin",NA,"4.6e-48","0.973372781065",179
"E_coli_K12","GH65","GH65","alpha-glucan, exo-polysaccharide",NA,"2.7e-138","0.991935483871",65
"E12_NM3","GH92","GH92","host glycan","animal","6.3e-155","0.918533604888",92
"E12_NM3","GH130_2","GH130","beta-mannan",NA,"2.6e-157","0.996666666667",130
"E12_NM3","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","6.8e-119","0.976261127596",20
"E12_NM3","GH13_14","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","3.3e-121","0.996539792388",13
"E12_NM3","GH13_8","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","4e-162","0.99375",13
"E12_NM3","GH23","GH23","chitin, peptidoglycan","pg","1.9e-26","0.82962962963",23
"E12_NM3","GH13_47","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","7.3e-109","0.987179487179",13
"E12_NM3","GH97","GH97","alpha-glucan",NA,"3e-210","0.9793977813",97
"E12_NM3","GH13_48","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1.7e-122","0.989399293286",13
"E12_NM3","GH43_2","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","1.9e-99","0.971119133574",43
"E12_NM3","GH43_28","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","6.8e-103","0.981132075472",43
"E12_NM3","GH33","GH33","pectin, sialic acid","animal,mucin","2.7e-92","0.964912280702",33
"E12_NM3","GH33","GH33","pectin, sialic acid","animal,mucin","5.5e-84","0.93567251462",33
"E12_NM3","GH92","GH92","host glycan","animal","1.3e-182","0.991853360489",92
"E12_NM3","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","3.7e-126","0.973293768546",20
"E12_NM3","GH109","GH109","host glycan","animal","2.5e-170","0.987468671679",109
"E12_NM3","GH92","GH92","host glycan","animal","7.1e-169","0.989816700611",92
"E12_NM3","GH73","GH73","peptidoglycan","pg","8.5e-18","0.9375",73
"E12_NM3","GH33","GH33","pectin, sialic acid","animal,mucin","1.9e-21","0.880116959064",33
"E12_NM3","GH77","GH77","starch","starch","4.5e-147","0.981781376518",77
"E12_NM3","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","2e-49","0.970326409496",20
"E12_NM3","GH133","GH133","glycogen",NA,"2.1e-87","0.978494623656",133
"E12_NM3","GH57","GH57","alpha-galactan, alpha-glucan, beta-glucan, starch","starch","1.6e-64","0.814621409922",57
"E12_NM3","GH23","GH23","chitin, peptidoglycan","pg","2.8e-24","0.859259259259",23
"E12_NM3","GH123","GH123","host glycan",NA,"2.3e-171","0.986988847584",123
"E12_NM3","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","5e-90","0.547872340426",2
"E12_NM3","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","3.7e-65","0.990740740741",3
"E12_NM3","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","7.7e-72","0.986111111111",3
"E12_NM3","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.9e-116","0.599734042553",2
"E12_NM3","GH84","GH84","host glycan","animal,mucin","1.7e-100","0.993220338983",84
"E12_NM3","GH36","GH36","alpha-galactan, host glycan, raffinose","plant","4.9e-204","0.995639534884",36
"E12_NM3","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.7e-81","0.518617021277",2
"E12_NM3","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.6e-82","0.718085106383",2
"E12_NM3","GH92","GH92","host glycan","animal","9.3e-161","0.995926680244",92
"E12_NM3","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","4e-49","0.995652173913",16
"E12_NM3","GH110","GH110","host glycan","animal","7.8e-180","0.996350364964",110
"E12_NM3","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","2.2e-122","0.613031914894",2
"E12_NM3","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","7e-53","0.967592592593",3
"E12_NM3","GH43_2","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","6.1e-120","0.996389891697",43
"E12_NM3","GH36","GH36","alpha-galactan, host glycan, raffinose","plant","8.8e-212","0.995639534884",36
"E12_NM3","GH31_16","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"1e-231","0.997679814385",31
"E12_NM3","GH23","GH23","chitin, peptidoglycan","pg","1.3e-21","0.837037037037",23
"E12_NM3","GH43_24","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","5.9e-88","0.991869918699",43
"E12_NM3","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","3.4e-60","0.991304347826",16
"E12_NM3","GH31_15","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"8.8e-165","0.99765258216",31
"E12_NM3","GH32","GH32","fructan","sucrose","1.1e-65","0.996587030717",32
"E12_NM3","GH32","GH32","fructan","sucrose","2.3e-87","0.986348122867",32
"E12_NM3","GH24","GH24","peptidoglycan","pg","9.8e-19","0.934306569343",24
"E12_NM3","GH89","GH89","host glycan","animal,mucin","2.9e-218","0.965309200603",89
"E12_NM3","GH95","GH95","host glycan, pectin, xylan, xyloglucan, host glycan","plant,animal,mucin","6.1e-248","0.984764542936",95
"E12_NM3","GH73","GH73","peptidoglycan","pg","1.2e-17","0.9140625",73
"E12_NM3","GH24","GH24","peptidoglycan","pg","4e-16","0.824817518248",24
"E12_NM3","GH97","GH97","alpha-glucan",NA,"2.2e-233","0.980982567353",97
"E12_NM3","GH53","GH53","arabinogalactan protein","plant","1.8e-60","0.754385964912",53
"E12_NM3","GH53","GH53","arabinogalactan protein","plant","2.9e-91","0.900584795322",53
"E12_NM3","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.3e-112","0.662234042553",2
"E12_NM3","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","2.1e-34","0.513888888889",3
"E12_NM3","GH33","GH33","pectin, sialic acid","animal,mucin","8e-87","0.961988304094",33
"E12_NM3","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","3.8e-63","0.972222222222",3
"E12_NM3","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","2.4e-57","0.982608695652",16
"E12_NM3","GH163","GH163","host glycan",NA,"6.7e-105","0.99203187251",163
"E12_NM3","GH92","GH92","host glycan","animal","3.3e-186","0.989816700611",92
"E12_NM3","GH92","GH92","host glycan","animal","2e-177","0.995926680244",92
"E12_NM3","GH13_28","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","3.2e-108","0.993031358885",13
"E12_NM3","GH29","GH29","host glycan","plant,animal,mucin","1.1e-78","0.887283236994",29
"E12_NM3","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","6.4e-117","0.973293768546",20
"E12_NM3","GH31_16","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"4.7e-218","0.997679814385",31
"E12_NM3","GH43_10","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","3.4e-108","0.9963099631",43
"E12_NM3","GH28","GH28","pectin","plant","2.9e-81","0.932307692308",28
"E12_NM3","GH105","GH105","pectin, ulvan","animal","2.6e-111","0.981927710843",105
"E12_NM3","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","2e-68","0.962962962963",3
"E12_NM3","GH13_38","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1.3e-166","0.99460916442",13
"E12_NM3","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","7.6e-56","0.995652173913",16
"E12_NM3","GH95","GH95","host glycan, pectin, xylan, xyloglucan, host glycan","plant,animal,mucin","1.5e-270","0.980609418283",95
"E12_NM3","GH85","GH85","host glycan","animal","8.4e-36","0.955555555556",85
"E12_NM3","GH25","GH25","peptidoglycan","pg","8.3e-39","0.971751412429",25
"E12_NM3","GH43_12","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","1.9e-104","0.992882562278",43
"E12_NM3","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","1.8e-65","0.981481481481",3
"E12_NM3","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.1e-214","0.972074468085",2
"E12_NM3","GH31","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"6.8e-125","0.997658079625",31
"E12_NM3","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","7.5e-68","0.981481481481",3
"E12_NM3","GH171","GH171","peptidoglycan",NA,"3.4e-106","0.997183098592",171
"E12_NM3","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","7.2e-65","0.981481481481",3
"F1_NM4","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","7.8e-212","0.970744680851",2
"F1_NM4","GH76","GH76","alpha-glucan, alpha-mannan",NA,"1.8e-71","0.821229050279",76
"F1_NM4","GH51_1","GH51","arabinan, beta-glucan, xylan","plant","3.1e-172","0.989406779661",51
"F1_NM4","GH51_2","GH51","arabinan, beta-glucan, xylan","plant","3.5e-179","0.993103448276",51
"F1_NM4","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","7.4e-210","0.969414893617",2
"F1_NM4","GH63","GH63","alpha-glucan, host glycan",NA,"2.9e-106","0.5",63
"F1_NM4","GH127","GH127","arabinogalactan protein, carrageenan, pectin",NA,"1.3e-31","0.526717557252",127
"F1_NM4","GH73","GH73","peptidoglycan","pg","3.6e-37","0.9765625",73
"F1_NM4","GH36","GH36","alpha-galactan, host glycan, raffinose","plant","4.6e-213","0.995639534884",36
"F1_NM4","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","4e-97","0.61835106383",2
"F1_NM4","GH110","GH110","host glycan","animal","2.6e-204","0.996350364964",110
"F1_NM4","GH27","GH27","alpha-galactan, arabinogalactan protein, host glycan, raffinose, starch","plant","2.9e-67","0.96943231441",27
"F1_NM4","GH43_24","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","1e-92","0.983739837398",43
"F1_NM4","GH105","GH105","pectin, ulvan","animal","6.5e-81","0.975903614458",105
"F1_NM4","GH154","GH154","arabinogalactan protein",NA,"5.5e-105","0.994252873563",154
"F1_NM4","GH43_29","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","2.7e-113","0.996402877698",43
"F1_NM4","GH24","GH24","peptidoglycan","pg","3.1e-17","0.978102189781",24
"F1_NM4","GH78","GH78","alpha-rhamnoside, pectin","plant","1.3e-148","0.978174603175",78
"F1_NM4","GH51_2","GH51","arabinan, beta-glucan, xylan","plant","1.2e-145","0.993103448276",51
"F1_NM4","GH31","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"1.3e-128","0.997658079625",31
"F1_NM4","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","8.8e-85","0.973293768546",20
"F1_NM4","GH13_48","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","2.3e-116","0.989399293286",13
"F1_NM4","GH51_2","GH51","arabinan, beta-glucan, xylan","plant","5.2e-155","0.993103448276",51
"F1_NM4","GH43_10","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","2.5e-93","0.9963099631",43
"F1_NM4","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","4.2e-45","0.995652173913",16
"F1_NM4","GH13_14","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","3.1e-116","0.996539792388",13
"F1_NM4","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","8.8e-68","0.972222222222",3
"F1_NM4","GH127","GH127","arabinogalactan protein, carrageenan, pectin",NA,"2.3e-212","0.998091603053",127
"F1_NM4","GH97","GH97","alpha-glucan",NA,"5.7e-189","0.992076069731",97
"F1_NM4","GH43_34","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","5.9e-84","0.992857142857",43
"F1_NM4","GH127","GH127","arabinogalactan protein, carrageenan, pectin",NA,"1.5e-210","0.998091603053",127
"F1_NM4","GH97","GH97","alpha-glucan",NA,"1.6e-172","0.987321711569",97
"F1_NM4","GH115","GH115","arabinogalactan protein, xylan","plant","5.8e-272","0.994261119082",115
"F1_NM4","GH25","GH25","peptidoglycan","pg","1.3e-43","0.994350282486",25
"F1_NM4","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","2.8e-72","0.986111111111",3
"F1_NM4","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","4.5e-46","0.986956521739",16
"F1_NM4","GH29","GH29","host glycan","plant,animal,mucin","1.5e-77","0.956647398844",29
"F1_NM4","GH115","GH115","arabinogalactan protein, xylan","plant","1.3e-223","0.987087517934",115
"F1_NM4","GH43_35","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","7.4e-113","0.990163934426",43
"F1_NM4","GH31_4","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"2.8e-166","0.997701149425",31
"F1_NM4","GH43_12","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","1.1e-109","0.992882562278",43
"F1_NM4","GH97","GH97","alpha-glucan",NA,"2.3e-129","0.887480190174",97
"F1_NM4","GH32","GH32","fructan","sucrose","6.4e-61","0.996587030717",32
