locus_tag	ftype	length_bp	gene	EC_number	COG	product
ALLENOCK_00377	tRNA	75				tRNA-His(gtg)
ALLENOCK_00378	CDS	555				hypothetical protein
ALLENOCK_00379	CDS	750				hypothetical protein
ALLENOCK_00380	CDS	1002	tolB_1			Tol-Pal system protein TolB
ALLENOCK_00381	CDS	2097				hypothetical protein
ALLENOCK_00382	CDS	1344	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
ALLENOCK_00383	CDS	753	menG	2.1.1.163		Demethylmenaquinone methyltransferase
ALLENOCK_00384	CDS	954	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
ALLENOCK_00385	CDS	984			COG1702	PhoH-like protein
ALLENOCK_00386	CDS	540				hypothetical protein
ALLENOCK_00387	CDS	771				hypothetical protein
ALLENOCK_00388	CDS	1086	korA_2	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
ALLENOCK_00389	CDS	231	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
ALLENOCK_00390	CDS	1884				hypothetical protein
ALLENOCK_00391	CDS	2469				hypothetical protein
ALLENOCK_00392	tRNA	74				tRNA-Glu(ctc)
ALLENOCK_00393	CDS	462				hypothetical protein
ALLENOCK_00394	CDS	1419				hypothetical protein
ALLENOCK_00395	CDS	819	glgA_1	2.4.1.21	COG0297	Glycogen synthase
ALLENOCK_00396	CDS	1803				hypothetical protein
ALLENOCK_00397	CDS	1137				hypothetical protein
ALLENOCK_00398	CDS	1035	yrbG_1		COG0530	Inner membrane protein YrbG
ALLENOCK_00399	CDS	2103	recD	3.1.11.5		RecBCD enzyme subunit RecD
ALLENOCK_00400	CDS	1140	galK_1	2.7.1.6	COG0153	Galactokinase
ALLENOCK_00401	CDS	1044	mro	5.1.3.3	COG2017	Aldose 1-epimerase
ALLENOCK_00402	CDS	903				hypothetical protein
ALLENOCK_00403	CDS	2205				hypothetical protein
ALLENOCK_00404	CDS	2427				hypothetical protein
ALLENOCK_00405	CDS	1188				hypothetical protein
ALLENOCK_00406	CDS	4632				hypothetical protein
ALLENOCK_00407	CDS	1152	appB	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
ALLENOCK_00408	CDS	1575	cydA	1.10.3.-	COG1271	Cytochrome bd ubiquinol oxidase subunit 1
ALLENOCK_00409	CDS	234				hypothetical protein
ALLENOCK_00410	CDS	546				hypothetical protein
ALLENOCK_00411	CDS	957	glcK	2.7.1.2	COG1940	Glucokinase
ALLENOCK_00412	CDS	1656				hypothetical protein
ALLENOCK_00413	CDS	2562	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
ALLENOCK_00414	CDS	372	crcB			Putative fluoride ion transporter CrcB
ALLENOCK_00415	CDS	687	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
ALLENOCK_00416	CDS	984			COG4413	Urea transporter
ALLENOCK_00417	CDS	945	ureD			Urease accessory protein UreD
ALLENOCK_00418	CDS	630	ureG		COG0378	Urease accessory protein UreG
ALLENOCK_00419	CDS	684	ureF		COG0830	Urease accessory protein UreF
ALLENOCK_00420	CDS	657	ureE			Urease accessory protein UreE
ALLENOCK_00421	CDS	1719	ureC	3.5.1.5	COG0804	Urease subunit alpha
ALLENOCK_00422	CDS	612	ureB	3.5.1.5		Urease subunit beta
ALLENOCK_00423	CDS	303	ureA2	3.5.1.5		Urease subunit gamma 2
ALLENOCK_00424	CDS	690				hypothetical protein
ALLENOCK_00425	CDS	240				hypothetical protein
ALLENOCK_00426	CDS	1077	aguA	3.5.3.12	COG2957	Putative agmatine deiminase
ALLENOCK_00427	CDS	894		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
ALLENOCK_00428	CDS	3300				hypothetical protein
ALLENOCK_00429	CDS	546				hypothetical protein
ALLENOCK_00430	CDS	672	rex		COG2344	Redox-sensing transcriptional repressor Rex
ALLENOCK_00431	CDS	1146	araJ		COG2814	Putative transporter AraJ
ALLENOCK_00432	CDS	2343	topA_2	5.6.2.1		DNA topoisomerase 1
ALLENOCK_00433	CDS	936	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
ALLENOCK_00434	CDS	1980	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
ALLENOCK_00435	CDS	768				hypothetical protein
ALLENOCK_00436	CDS	588				hypothetical protein
ALLENOCK_00437	CDS	309				hypothetical protein
ALLENOCK_00438	CDS	618	ruvC	3.1.22.4		Crossover junction endodeoxyribonuclease RuvC
ALLENOCK_00439	CDS	993				hypothetical protein
ALLENOCK_00440	CDS	318	rplU		COG0261	50S ribosomal protein L21
ALLENOCK_00441	CDS	264	rpmA		COG0211	50S ribosomal protein L27
ALLENOCK_00442	CDS	999	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
ALLENOCK_00443	CDS	1824				hypothetical protein
ALLENOCK_00444	CDS	549				hypothetical protein
ALLENOCK_00445	CDS	588	lemA		COG1704	Protein LemA
ALLENOCK_00446	CDS	1545	glyQS	6.1.1.14		Glycine--tRNA ligase
ALLENOCK_00447	CDS	177				hypothetical protein
ALLENOCK_00448	tRNA	73				tRNA-Glu(ttc)
ALLENOCK_00449	CDS	264	rpsT		COG0268	30S ribosomal protein S20
ALLENOCK_00450	tRNA	73				tRNA-Glu(ttc)
ALLENOCK_00451	CDS	1206				hypothetical protein
ALLENOCK_00452	CDS	732				hypothetical protein
ALLENOCK_00453	CDS	1098				hypothetical protein
ALLENOCK_00454	CDS	567	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
ALLENOCK_00455	CDS	921	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
ALLENOCK_00456	CDS	849				hypothetical protein
ALLENOCK_00457	CDS	1470				hypothetical protein
ALLENOCK_00458	CDS	2055				hypothetical protein
ALLENOCK_00459	CDS	1521				hypothetical protein
ALLENOCK_00460	CDS	198				hypothetical protein
ALLENOCK_00461	CDS	1707				hypothetical protein
ALLENOCK_00462	CDS	3393	mfd	3.6.4.-		Transcription-repair-coupling factor
ALLENOCK_00463	CDS	1197				hypothetical protein
ALLENOCK_00464	CDS	1617	phoV	3.1.3.1		Alkaline phosphatase PhoV
ALLENOCK_00465	CDS	3507	secA		COG0653	Protein translocase subunit SecA
ALLENOCK_00466	CDS	2124		3.4.21.26		Prolyl endopeptidase
ALLENOCK_00467	CDS	942				hypothetical protein
ALLENOCK_00468	CDS	1023	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
ALLENOCK_00469	CDS	786	phnP	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
ALLENOCK_00470	CDS	831				hypothetical protein
ALLENOCK_00471	CDS	2313				hypothetical protein
ALLENOCK_00472	CDS	231				hypothetical protein
ALLENOCK_00473	CDS	1299		2.8.3.-	COG0427	putative butyrate:acetyl-CoA coenzyme A-transferase
ALLENOCK_00474	CDS	7431				hypothetical protein
ALLENOCK_00475	CDS	1536				hypothetical protein
ALLENOCK_00476	CDS	498				hypothetical protein
ALLENOCK_00477	CDS	849				hypothetical protein
ALLENOCK_00478	CDS	1227	serB	3.1.3.3		Phosphoserine phosphatase
ALLENOCK_00479	CDS	2376				hypothetical protein
ALLENOCK_00480	CDS	999				hypothetical protein
ALLENOCK_00481	CDS	432				hypothetical protein
ALLENOCK_00482	CDS	582				hypothetical protein
ALLENOCK_00483	CDS	1632	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
ALLENOCK_00484	CDS	1095				hypothetical protein
ALLENOCK_00485	CDS	252				hypothetical protein
ALLENOCK_00486	CDS	1281	rarA		COG2256	Replication-associated recombination protein A
ALLENOCK_00487	CDS	537				hypothetical protein
ALLENOCK_00488	CDS	585				hypothetical protein
ALLENOCK_00489	CDS	468				hypothetical protein
ALLENOCK_00490	CDS	1092				hypothetical protein
ALLENOCK_00491	CDS	402				hypothetical protein
ALLENOCK_00492	CDS	1365				hypothetical protein
ALLENOCK_00493	CDS	102				hypothetical protein
ALLENOCK_00494	CDS	1635		3.2.1.-		Beta-xylosidase
ALLENOCK_00495	CDS	963				hypothetical protein
ALLENOCK_00496	CDS	1482	uxaB	1.1.1.58	COG0246	Altronate oxidoreductase
ALLENOCK_00497	CDS	1506	uxaA	4.2.1.7	COG2721	Altronate dehydratase
ALLENOCK_00498	CDS	1416	uxaC	5.3.1.12	COG1904	Uronate isomerase
ALLENOCK_00499	CDS	1491	exuT			Hexuronate transporter
ALLENOCK_00500	CDS	594	rbr_1		COG1592	Rubrerythrin
ALLENOCK_00501	CDS	1995				hypothetical protein
ALLENOCK_00502	CDS	2622				hypothetical protein
ALLENOCK_00503	CDS	1230				hypothetical protein
ALLENOCK_00504	CDS	513				hypothetical protein
ALLENOCK_00505	CDS	207				hypothetical protein
ALLENOCK_00506	CDS	624				hypothetical protein
ALLENOCK_00507	CDS	1482	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
ALLENOCK_00508	CDS	1752	surA_1	5.2.1.8		Chaperone SurA
ALLENOCK_00509	CDS	918				hypothetical protein
ALLENOCK_00510	CDS	1398	surA_2	5.2.1.8		Chaperone SurA
ALLENOCK_00511	CDS	1767	lptD_2			LPS-assembly protein LptD
ALLENOCK_00512	CDS	906				hypothetical protein
ALLENOCK_00513	CDS	2208	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
ALLENOCK_00514	CDS	537	cutD_1	1.97.1.-		Choline trimethylamine-lyase activating enzyme
ALLENOCK_00515	CDS	939				hypothetical protein
ALLENOCK_00516	CDS	1476	rapZ			RNase adapter protein RapZ
ALLENOCK_00517	CDS	756	murU	2.7.7.99	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
ALLENOCK_00518	CDS	525				hypothetical protein
ALLENOCK_00519	CDS	498				hypothetical protein
ALLENOCK_00520	CDS	552				hypothetical protein
ALLENOCK_00521	CDS	1398	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
ALLENOCK_00522	CDS	774				hypothetical protein
ALLENOCK_00523	CDS	2901	nagZ_1	3.2.1.52		Beta-hexosaminidase
ALLENOCK_00524	CDS	3093				TonB-dependent receptor P3
ALLENOCK_00525	CDS	1563				hypothetical protein
ALLENOCK_00526	CDS	960				hypothetical protein
ALLENOCK_00527	CDS	1236				hypothetical protein
ALLENOCK_00528	CDS	1023				hypothetical protein
ALLENOCK_00529	CDS	783				hypothetical protein
ALLENOCK_00530	CDS	402		3.1.-.-	COG0824	Putative esterase
ALLENOCK_00531	CDS	1119				hypothetical protein
ALLENOCK_00532	CDS	879	udp	2.4.2.3	COG2820	Uridine phosphorylase
ALLENOCK_00533	CDS	1083				hypothetical protein
ALLENOCK_00534	CDS	1131	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
ALLENOCK_00535	CDS	255				hypothetical protein
ALLENOCK_00536	CDS	2775	polA	2.7.7.7		DNA polymerase I
ALLENOCK_00537	CDS	978	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
ALLENOCK_00538	CDS	543				hypothetical protein
ALLENOCK_00539	CDS	708				hypothetical protein
ALLENOCK_00540	CDS	552		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
ALLENOCK_00541	CDS	1665				hypothetical protein
ALLENOCK_00542	CDS	435	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
ALLENOCK_00543	CDS	1590				hypothetical protein
ALLENOCK_00544	CDS	930				hypothetical protein
ALLENOCK_00545	CDS	687				hypothetical protein
ALLENOCK_00546	CDS	1380	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
ALLENOCK_00547	CDS	1491	scpC	2.8.3.-	COG0427	Propionyl-CoA:succinate CoA transferase
ALLENOCK_00548	CDS	198				hypothetical protein
ALLENOCK_00549	CDS	1059	aroB	4.2.3.4		3-dehydroquinate synthase
ALLENOCK_00550	CDS	744	gph_1	3.1.3.18		Phosphoglycolate phosphatase
ALLENOCK_00551	CDS	3429				hypothetical protein
ALLENOCK_00552	CDS	798				hypothetical protein
ALLENOCK_00553	CDS	1002	aes	3.1.1.-		Acetyl esterase
ALLENOCK_00554	CDS	684	ped	1.1.1.311		(S)-1-Phenylethanol dehydrogenase
ALLENOCK_00555	CDS	555				hypothetical protein
ALLENOCK_00556	CDS	729				hypothetical protein
ALLENOCK_00557	CDS	438				hypothetical protein
ALLENOCK_00558	CDS	150				hypothetical protein
ALLENOCK_00559	CDS	1302	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
ALLENOCK_00560	CDS	531	chrA			Chromate transport protein
ALLENOCK_00561	CDS	651				hypothetical protein
ALLENOCK_00562	CDS	1551				hypothetical protein
ALLENOCK_00563	CDS	723				hypothetical protein
ALLENOCK_00564	CDS	1860				hypothetical protein
ALLENOCK_00565	CDS	1491	wzxE_2			Lipid III flippase
ALLENOCK_00566	CDS	1380				hypothetical protein
ALLENOCK_00567	CDS	819				hypothetical protein
ALLENOCK_00568	CDS	1767	ycf3			Photosystem I assembly protein Ycf3
ALLENOCK_00569	CDS	444	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
ALLENOCK_00570	CDS	1392	dnaA		COG0593	Chromosomal replication initiator protein DnaA
ALLENOCK_00571	CDS	270				hypothetical protein
ALLENOCK_00572	CDS	900				hypothetical protein
ALLENOCK_00573	CDS	1161				hypothetical protein
ALLENOCK_00574	CDS	1023				hypothetical protein
ALLENOCK_00575	CDS	126				hypothetical protein
ALLENOCK_00576	CDS	591	algU_1		COG1595	RNA polymerase sigma-H factor
ALLENOCK_00577	CDS	594				hypothetical protein
ALLENOCK_00578	CDS	1461	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
ALLENOCK_00579	CDS	780				hypothetical protein
ALLENOCK_00580	CDS	750	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
ALLENOCK_00581	CDS	2013	frdA	1.3.5.4		Fumarate reductase flavoprotein subunit
ALLENOCK_00582	CDS	999				hypothetical protein
ALLENOCK_00583	CDS	99				hypothetical protein
ALLENOCK_00584	CDS	198				hypothetical protein
ALLENOCK_00585	CDS	1203				Outer membrane protein 40
ALLENOCK_00586	CDS	876				hypothetical protein
ALLENOCK_00587	CDS	1179	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
ALLENOCK_00588	CDS	1362		3.4.24.-	COG0750	Putative zinc metalloprotease
ALLENOCK_00589	CDS	1185	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
ALLENOCK_00590	CDS	1947				hypothetical protein
ALLENOCK_00591	CDS	1023	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
ALLENOCK_00592	CDS	681	nth	4.2.99.18	COG0177	Endonuclease III
ALLENOCK_00593	CDS	666				hypothetical protein
ALLENOCK_00594	CDS	456				hypothetical protein
ALLENOCK_00595	CDS	795				hypothetical protein
ALLENOCK_00596	CDS	1713	glgE	2.4.99.16		Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase
ALLENOCK_00597	CDS	933	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
ALLENOCK_00598	CDS	3198				hypothetical protein
ALLENOCK_00599	CDS	735	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
ALLENOCK_00600	CDS	1164				hypothetical protein
ALLENOCK_00601	CDS	531				hypothetical protein
ALLENOCK_00602	CDS	453	smpB		COG0691	SsrA-binding protein
ALLENOCK_00603	tRNA	88				tRNA-Leu(taa)
ALLENOCK_00604	CDS	1635				SusD-like protein P2
ALLENOCK_00605	CDS	3138				TonB-dependent receptor P3
ALLENOCK_00606	CDS	798		3.2.1.103		Keratan-sulfate endo-1,4-beta-galactosidase
ALLENOCK_00607	CDS	471				hypothetical protein
ALLENOCK_00608	CDS	342				hypothetical protein
ALLENOCK_00609	CDS	603				hypothetical protein
ALLENOCK_00610	CDS	216				hypothetical protein
ALLENOCK_00611	CDS	117				hypothetical protein
ALLENOCK_00612	CDS	450				hypothetical protein
ALLENOCK_00613	CDS	1908	dnaK			Chaperone protein DnaK
ALLENOCK_00614	CDS	423	epi	5.1.99.-	COG0346	Ethylmalonyl-CoA/methylmalonyl-CoA epimerase
ALLENOCK_00615	CDS	1554	pccB	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
ALLENOCK_00616	CDS	906				hypothetical protein
ALLENOCK_00617	CDS	438				hypothetical protein
ALLENOCK_00618	CDS	1170	gcdB	7.2.4.5	COG1883	Glutaconyl-CoA decarboxylase subunit beta
ALLENOCK_00619	CDS	351				hypothetical protein
ALLENOCK_00620	CDS	858				hypothetical protein
ALLENOCK_00621	CDS	1764	aspS	6.1.1.12		Aspartate--tRNA ligase
ALLENOCK_00622	CDS	789			COG0327	GTP cyclohydrolase 1 type 2 
ALLENOCK_00623	CDS	780				hypothetical protein
ALLENOCK_00624	CDS	567				hypothetical protein
ALLENOCK_00625	CDS	1341	mleN		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
ALLENOCK_00626	CDS	2070				hypothetical protein
ALLENOCK_00627	CDS	192	rpsU		COG0828	30S ribosomal protein S21
ALLENOCK_00628	CDS	915	xerD_2			Tyrosine recombinase XerD
ALLENOCK_00629	CDS	300	hpf			Ribosome hibernation promoting factor
ALLENOCK_00630	CDS	2289	rhaR_3			HTH-type transcriptional activator RhaR
ALLENOCK_00631	CDS	3729				hypothetical protein
ALLENOCK_00632	CDS	597	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
ALLENOCK_00633	CDS	1362	trpB_1	4.2.1.20	COG0133	Tryptophan synthase beta chain
ALLENOCK_00634	CDS	213				hypothetical protein
ALLENOCK_00635	CDS	1359	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
ALLENOCK_00636	CDS	597				hypothetical protein
ALLENOCK_00637	CDS	141				hypothetical protein
ALLENOCK_00638	CDS	1833	deaD	3.6.4.13		ATP-dependent RNA helicase DeaD
ALLENOCK_00639	CDS	1317	der		COG1160	GTPase Der
ALLENOCK_00640	CDS	1311				hypothetical protein
ALLENOCK_00641	CDS	1374	phoA	3.1.3.1	COG1785	Alkaline phosphatase 4
ALLENOCK_00642	CDS	984	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
ALLENOCK_00643	CDS	1137	egtB_2	1.14.99.50		Hercynine oxygenase
ALLENOCK_00644	CDS	1014				hypothetical protein
ALLENOCK_00645	CDS	918				hypothetical protein
ALLENOCK_00646	CDS	1131				hypothetical protein
ALLENOCK_00647	CDS	678				hypothetical protein
ALLENOCK_00648	CDS	3213				hypothetical protein
ALLENOCK_00649	CDS	549				hypothetical protein
ALLENOCK_00650	CDS	3573		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
ALLENOCK_00651	CDS	165				hypothetical protein
ALLENOCK_00652	CDS	1665	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
ALLENOCK_00653	CDS	1236	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
ALLENOCK_00654	CDS	1299	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
ALLENOCK_00655	CDS	1560	glpT		COG2271	Glycerol-3-phosphate transporter
ALLENOCK_00656	CDS	798				hypothetical protein
ALLENOCK_00657	CDS	1227	chuR	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
ALLENOCK_00658	CDS	1503		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
ALLENOCK_00659	CDS	3249	susC_2			TonB-dependent receptor SusC
ALLENOCK_00660	CDS	1776				hypothetical protein
ALLENOCK_00661	CDS	3027				hypothetical protein
ALLENOCK_00662	CDS	552	fecI		COG1595	putative RNA polymerase sigma factor FecI
ALLENOCK_00663	CDS	354				hypothetical protein
ALLENOCK_00664	CDS	1008				hypothetical protein
ALLENOCK_00665	CDS	3399				TonB-dependent receptor P3
ALLENOCK_00666	CDS	1389				SusD-like protein P25
ALLENOCK_00667	CDS	2022	bamB			Outer membrane protein assembly factor BamB
ALLENOCK_00668	CDS	1689				hypothetical protein
ALLENOCK_00669	CDS	903				hypothetical protein
ALLENOCK_00670	CDS	1425	pgtP		COG2271	Phosphoglycerate transporter protein
ALLENOCK_00671	CDS	819	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
ALLENOCK_00672	CDS	393	mip	5.2.1.8	COG0545	Outer membrane protein MIP
ALLENOCK_00673	CDS	2271	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
ALLENOCK_00674	CDS	3423				hypothetical protein
ALLENOCK_00675	CDS	2250	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
ALLENOCK_00676	CDS	888	murI	5.1.1.3		Glutamate racemase
ALLENOCK_00677	CDS	501				hypothetical protein
ALLENOCK_00678	CDS	516				hypothetical protein
ALLENOCK_00679	CDS	2640	bamA_1		COG4775	Outer membrane protein assembly factor BamA
ALLENOCK_00680	CDS	756	uppS	2.5.1.-		Isoprenyl transferase
ALLENOCK_00681	CDS	735				hypothetical protein
ALLENOCK_00682	CDS	1557				hypothetical protein
ALLENOCK_00683	CDS	720				hypothetical protein
ALLENOCK_00684	CDS	585				hypothetical protein
ALLENOCK_00685	CDS	759				hypothetical protein
ALLENOCK_00686	CDS	870	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
ALLENOCK_00687	CDS	1605				hypothetical protein
ALLENOCK_00688	CDS	591				hypothetical protein
ALLENOCK_00689	CDS	609				hypothetical protein
ALLENOCK_00690	CDS	558				hypothetical protein
ALLENOCK_00691	CDS	219				hypothetical protein
ALLENOCK_00692	CDS	435				hypothetical protein
ALLENOCK_00693	CDS	2157	fusA		COG0480	Elongation factor G
ALLENOCK_00694	CDS	954	argF'	2.1.3.11		N-succinylornithine carbamoyltransferase
ALLENOCK_00695	CDS	807	focA		COG2116	putative formate transporter 1
ALLENOCK_00696	CDS	1812	ltaS_1			Lipoteichoic acid synthase
ALLENOCK_00697	CDS	1623				hypothetical protein
ALLENOCK_00698	CDS	1674				hypothetical protein
ALLENOCK_00699	CDS	636				hypothetical protein
ALLENOCK_00700	CDS	1179				hypothetical protein
ALLENOCK_00701	CDS	2148	nisB_1			Nisin biosynthesis protein NisB
ALLENOCK_00702	CDS	819	nisB_2			Nisin biosynthesis protein NisB
ALLENOCK_00703	CDS	1674	udk_1	2.7.1.48		Uridine kinase
ALLENOCK_00704	CDS	1698		3.2.1.55	COG3507	Non-reducing end alpha-L-arabinofuranosidase BoGH43B
ALLENOCK_00705	CDS	2565	xyl3A_1	3.2.1.37	COG1472	Xylan 1,4-beta-xylosidase
ALLENOCK_00706	CDS	3480				hypothetical protein
ALLENOCK_00707	CDS	2103				hypothetical protein
ALLENOCK_00708	CDS	2076				hypothetical protein
ALLENOCK_00709	CDS	219				hypothetical protein
ALLENOCK_00710	CDS	4317				hypothetical protein
ALLENOCK_00711	CDS	1419				hypothetical protein
ALLENOCK_00712	CDS	432				hypothetical protein
ALLENOCK_00713	CDS	1293				hypothetical protein
ALLENOCK_00714	CDS	705				hypothetical protein
ALLENOCK_00715	CDS	1236				hypothetical protein
ALLENOCK_00716	CDS	786	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
ALLENOCK_00717	CDS	366				hypothetical protein
ALLENOCK_00718	CDS	291				hypothetical protein
ALLENOCK_00719	CDS	2733				hypothetical protein
ALLENOCK_00720	CDS	198				hypothetical protein
ALLENOCK_00721	CDS	573	algU_2		COG1595	RNA polymerase sigma-H factor
ALLENOCK_00722	CDS	963				hypothetical protein
ALLENOCK_00723	CDS	1050				hypothetical protein
ALLENOCK_00724	CDS	1602				IS21 family transposase ISPpu7
ALLENOCK_00725	CDS	780				IS21 family transposase ISRel16
ALLENOCK_00726	CDS	645				TonB-dependent receptor P3
ALLENOCK_00727	CDS	1644				SusD-like protein P25
ALLENOCK_00728	CDS	1254				hypothetical protein
ALLENOCK_00729	CDS	1569				hypothetical protein
ALLENOCK_00730	CDS	3105	lacZ_1	3.2.1.23		Beta-galactosidase
ALLENOCK_00731	CDS	684				hypothetical protein
ALLENOCK_00732	CDS	402				hypothetical protein
ALLENOCK_00733	CDS	1398	uhpC		COG2271	Membrane sensor protein UhpC
ALLENOCK_00734	CDS	948				hypothetical protein
ALLENOCK_00735	CDS	897				hypothetical protein
ALLENOCK_00736	CDS	1002				hypothetical protein
ALLENOCK_00737	CDS	1701				hypothetical protein
ALLENOCK_00738	CDS	3540				TonB-dependent receptor P26
ALLENOCK_00739	CDS	816				hypothetical protein
ALLENOCK_00740	CDS	987				hypothetical protein
ALLENOCK_00741	CDS	1785	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
ALLENOCK_00742	CDS	705	ybhL		COG0670	Inner membrane protein YbhL
ALLENOCK_00743	CDS	3315				TonB-dependent receptor P26
ALLENOCK_00744	CDS	1713				hypothetical protein
ALLENOCK_00745	CDS	1362				hypothetical protein
ALLENOCK_00746	CDS	1419				hypothetical protein
ALLENOCK_00747	CDS	1866				hypothetical protein
ALLENOCK_00748	CDS	819	bamD			Outer membrane protein assembly factor BamD
ALLENOCK_00749	CDS	333				hypothetical protein
ALLENOCK_00750	CDS	348				hypothetical protein
ALLENOCK_00751	CDS	2178	kefB_1			Glutathione-regulated potassium-efflux system protein KefB
ALLENOCK_00752	CDS	1044	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
ALLENOCK_00753	CDS	621				hypothetical protein
ALLENOCK_00754	CDS	2406		2.4.1.161	COG1501	Oligosaccharide 4-alpha-D-glucosyltransferase
ALLENOCK_00755	tRNA	75				tRNA-Asp(gtc)
ALLENOCK_00756	CDS	1002				hypothetical protein
ALLENOCK_00757	CDS	2151				hypothetical protein
ALLENOCK_00758	CDS	1323				hypothetical protein
ALLENOCK_00759	CDS	609				hypothetical protein
ALLENOCK_00760	CDS	597				hypothetical protein
ALLENOCK_00761	CDS	2118				hypothetical protein
ALLENOCK_00762	CDS	447				hypothetical protein
ALLENOCK_00763	CDS	1167				hypothetical protein
ALLENOCK_00764	CDS	1029	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
ALLENOCK_00765	CDS	861				hypothetical protein
ALLENOCK_00766	CDS	579	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
ALLENOCK_00767	CDS	906				hypothetical protein
ALLENOCK_00768	CDS	2097				hypothetical protein
ALLENOCK_00769	CDS	1605	pckA	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
ALLENOCK_00770	tRNA	77				tRNA-Asn(gtt)
ALLENOCK_00771	CDS	900	nfo	3.1.21.2	COG0648	Endonuclease 4
ALLENOCK_00772	rRNA	96				5S ribosomal RNA
ALLENOCK_00773	CDS	273				hypothetical protein
ALLENOCK_00774	CDS	315				hypothetical protein
ALLENOCK_00775	CDS	684	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
ALLENOCK_00776	CDS	900	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
ALLENOCK_00777	CDS	534				hypothetical protein
ALLENOCK_00778	CDS	474	asnC_2		COG1522	Regulatory protein AsnC
ALLENOCK_00779	CDS	798	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
ALLENOCK_00780	CDS	1020	ribD		COG0117	Riboflavin biosynthesis protein RibD
ALLENOCK_00781	CDS	1812				hypothetical protein
ALLENOCK_00782	CDS	2793				hypothetical protein
